time,torque,rpm
1745773492.643681,-0.0,1092.0
1745773492.683586,-0.0,1046.0
1745773492.723663,-0.0,1019.0
1745773492.763825,-0.0,996.0
1745773492.804077,-0.0,955.0
1745773492.844516,-0.0,968.0
1745773492.883273,-0.0,962.0
1745773492.923491,-0.0,951.0
1745773492.963649,-0.0,947.0
1745773493.003905,-0.0,968.0
1745773493.044175,-0.0,979.0
1745773493.084043,-0.0,954.0
1745773493.122912,-0.0,919.0
1745773493.163174,-0.0,920.0
1745773493.203327,-0.0,883.0
1745773493.243733,-0.0,847.0
1745773493.283419,-0.0,870.0
1745773493.324089,-0.0,897.0
1745773493.364226,-0.0,888.0
1745773493.402525,-0.0,868.0
1745773493.4425,-0.0,843.0
1745773493.482772,2.0625,780.0
1745773493.523737,23.875,836.0
1745773493.563279,51.875,823.0
1745773493.602067,79.875,814.0
1745773493.641997,107.875,824.0
1745773493.682012,115.875,827.0
1745773493.722211,128.875,820.0
1745773493.762459,128.875,848.0
1745773493.802854,125.0,852.0
1745773493.841625,118.875,875.0
1745773493.881555,112.0,893.0
1745773493.921593,114.0,918.0
1745773493.961857,107.875,978.0
1745773494.002033,103.0,950.0
1745773494.042315,101.0,985.0
1745773494.081194,101.0,997.0
1745773494.121128,103.0,1027.0
1745773494.161215,101.0,1040.0
1745773494.201336,96.6875,1014.0
1745773494.241586,92.0,1038.0
1745773494.281854,90.0,1033.0
1745773494.320915,90.0,1060.0
1745773494.360683,94.25,1093.0
1745773494.400851,99.0,1082.0
1745773494.44104,101.0,1059.0
1745773494.481158,109.25,1114.0
1745773494.521397,129.25,1140.0
1745773494.560317,134.0,1135.0
1745773494.600247,136.0,1091.0
1745773494.640354,138.0,1102.0
1745773494.680608,153.25,1075.0
1745773494.721264,178.25,1079.0
1745773494.761076,193.0,1107.0
1745773494.801364,200.4375,1129.0
1745773494.839837,217.0,1159.0
1745773494.879957,217.0,1293.0
1745773494.920297,217.0,1351.0
1745773494.960447,215.0,1395.0
1745773495.000719,215.0,1289.0
1745773495.039611,217.0,1371.0
1745773495.079422,217.0,1686.0
1745773495.119638,217.0,1715.0
1745773495.160442,217.0,1470.0
1745773495.20035,215.0,1372.0
1745773495.240702,217.0,1393.0
1745773495.279094,215.0,1507.0
1745773495.319105,215.0,1760.0
1745773495.359092,215.1875,1694.0
1745773495.399413,215.1875,1565.0
1745773495.439576,215.0,1572.0
1745773495.479854,215.0,1600.0
1745773495.518756,204.1875,1551.0
1745773495.558621,176.1875,1567.0
1745773495.598623,148.1875,1570.0
1745773495.638933,120.1875,1574.0
1745773495.679233,92.1875,1569.0
1745773495.719419,64.1875,1589.0
1745773495.758185,36.1875,1566.0
1745773495.798112,8.1875,1539.0
1745773495.838153,-0.0,1469.0
1745773495.878431,-0.0,1461.0
1745773495.918716,-0.0,1454.0
1745773495.959007,-0.0,1400.0
1745773495.997759,-0.0,1354.0
1745773496.037917,-0.0,1332.0
1745773496.078297,-0.0,1317.0
1745773496.118306,-0.0,1302.0
1745773496.158189,-0.0,1269.0
1745773496.198465,-0.0,1286.0
1745773496.237452,-0.0,1280.0
1745773496.277234,-0.0,1260.0
1745773496.317348,-0.0,1267.0
1745773496.357613,-0.0,1285.0
1745773496.398272,-0.0,1292.0
1745773496.438758,-0.0,1274.0
1745773496.478775,-0.0,1250.0
1745773496.517346,-0.0,1232.0
1745773496.556955,-0.0,1255.0
1745773496.597145,22.0,1294.0
1745773496.637826,46.0,1286.0
1745773496.677657,72.5625,1367.0
1745773496.718005,100.5625,1446.0
1745773496.756377,121.0,1470.0
1745773496.796389,121.0,1342.0
1745773496.836667,132.0,1364.0
1745773496.876842,158.5625,1496.0
1745773496.917137,169.0,1599.0
1745773496.956801,151.0,1438.0
1745773496.995953,140.0,1333.0
1745773497.035942,134.0,1342.0
1745773497.076191,132.0,1341.0
1745773497.116447,123.0,1331.0
1745773497.156689,96.375,1357.0
1745773497.195618,68.375,1368.0
1745773497.235551,52.0,1390.0
1745773497.275536,35.1875,1371.0
1745773497.315836,7.1875,1323.0
1745773497.356032,-0.0,1298.0
1745773497.396343,-0.0,1344.0
1745773497.435197,-0.0,1332.0
1745773497.475482,-0.0,1317.0
1745773497.515361,-0.0,1327.0
1745773497.555408,-0.0,1324.0
1745773497.595657,-0.0,1319.0
1745773497.635861,-0.0,1328.0
1745773497.674836,-0.0,1317.0
1745773497.714716,-0.0,1297.0
1745773497.754825,-0.0,1282.0
1745773497.795536,-0.0,1286.0
1745773497.83568,-0.0,1279.0
1745773497.875548,-0.0,1274.0
1745773497.914557,-0.0,1271.0
1745773497.954333,-0.0,1271.0
1745773497.994485,-0.0,1253.0
1745773498.034665,-0.0,1232.0
1745773498.07491,-0.0,1243.0
1745773498.11518,-0.0,1244.0
1745773498.153964,-0.0,1193.0
1745773498.193978,-0.0,1202.0
1745773498.234029,-0.0,1208.0
1745773498.274291,-0.0,1190.0
1745773498.31561,-0.0,1197.0
1745773498.354824,-0.0,1226.0
1745773498.393635,-0.0,1235.0
1745773498.434166,-0.0,1213.0
1745773498.473453,-0.0,1153.0
1745773498.513869,-0.0,1123.0
1745773498.554076,22.0,1198.0
1745773498.594324,48.1875,1267.0
1745773498.633109,76.9375,1315.0
1745773498.673039,104.25,1387.0
1745773498.713023,132.25,1311.0
1745773498.753271,153.75,1265.0
1745773498.793639,165.0,1337.0
1745773498.833893,165.0,1321.0
1745773498.872688,165.0,1348.0
1745773498.912621,184.0,1398.0
